id       study                            nTi   nCi   meanage  minutes  trained  tristudy  yi      vi
1        "Chang et al. (2002)"            30    30    28       30       0        0         0.77    .072
2        "Chin (1999)"                    46    39    42       10       0        0        -0.51    .049
3        "Delaney et al. (2002)"          15    15    33       20       1        0         0.21    .134
4        "Diego et al. (2002)"            10    10    39       40       1        1         0.46    .205
5        "Diego et al. (2001)"            12    12    17       20       1        1         0.56    .173
6        "Field et al. (2002)"            10    10    51       30       1        1         0.44    .205
7        "Field et al. (1996)"            26    24    26       15       1        1         0.62    .084
10       "Groer et al. (1994)"            18    14    66       10       0        0        -0.21    .128
11       "Hernandez-Reif et al. (1998)"   12    12    48       45       1        1         1.53    .215
12       "Hernandez-Reif et al. (2001)"   12    12    40       30       1        1         0.44    .171
13       "Hernandez-Reif et al. (2000a)"  15    15    52       30       1        1         0.27    .135
14       "Hernandez-Reif et al. (2000b)"  12    10    33       30       1        1         0.13    .184
15       "Leivadi et al. (1999)"          15    15    20       30       1        1         0.53    .138
16       "Levin (1990)"                   18    18    27       60       1        0         1.33    .136
17       "Menard (1995)"                  15    15    52       45       1        0         1.15    .155
19       "Okvat et al. (2002)"            43    35    61       10       1        0         0.06    .052
